,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
131,132,Sierra Leone,b'1956',b'0.0',b'690',b'0.0',b'1506.0',b'0.0',b'381',b'0.0',b'245.0',b'9.0'
132,133,Angola,b'1906',b'0.0',b'880',b'0.0',b'628.0',b'0.0',b'1190',b'20.0',b'58.0',b'3.0'
133,134,Gambia,b'1872',b'0.0',b'630',b'0.0',b'401.0',b'0.0',b'1408',b'0.0',b'772.0',b'26.0'
134,135,Yemen,b'1869',b'0.0',b'5300',b'0.0',b'1013.0',b'0.0',b'326',b'0.0',b'62.0',b'18.0'
135,136,Syria,b'1764',b'87.0',b'680',b'4.0',b'425.0',b'8.0',b'1271',b'0.0',b'101.0',b'4.0'
136,137,New Zealand,b'1631',b'9.0',b'220',b'0.0',b'1531.0',b'0.0',b'78',b'5.0',b'326.0',b'4.0'
137,138,Uganda,b'1560',b'60.0',b'150',b'2.0',b'1165.0',b'23.0',b'380',b'0.0',b'34.0',b'0.3'
138,139,Uruguay,b'1440',b'0.0',b'380',b'0.0',b'1200.0',b'0.0',b'202',b'4.0',b'414.0',b'11.0'
139,140,Jordan,b'1398',b'20.0',b'110',b'0.0',b'1241.0',b'5.0',b'146',b'3.0',b'137.0',b'1.0'
140,141,Malta,b'1375',b'69.0',b'90',b'0.0',b'759.0',b'10.0',b'607',b'3.0',b'3113.0',b'20.0'
141,142,Cyprus,b'1351',b'12.0',b'200',b'0.0',b'870.0',b'0.0',b'461',b'5.0',b'1118.0',b'17.0'
142,143,Georgia,b'1341',b'5.0',b'170',b'0.0',b'1092.0',b'4.0',b'232',b'0.0',b'336.0',b'4.0'
143,144,Latvia,b'1323',b'1.0',b'320',b'0.0',b'1078.0',b'0.0',b'213',b'0.0',b'702.0',b'17.0'
144,145,Bahamas,b'1315',b'0.0',b'180',b'0.0',b'189.0',b'0.0',b'1108',b'1.0',b'3340.0',b'46.0'
145,146,Botswana,b'1308',b'94.0',b'30',b'0.0',b'136.0',b'16.0',b'1169',b'1.0',b'555.0',b'1.0'
146,147,Burkina Faso,b'1267',b'0.0',b'550',b'0.0',b'1013.0',b'0.0',b'199',b'0.0',b'60.0',b'3.0'
147,148,Liberia,b'1257',b'0.0',b'820',b'0.0',b'788.0',b'0.0',b'387',b'0.0',b'248.0',b'16.0'
148,149,Niger,b'1167',b'0.0',b'690',b'0.0',b'1078.0',b'0.0',b'20',b'0.0',b'48.0',b'3.0'
149,150,Togo,b'1147',b'0.0',b'270',b'0.0',b'843.0',b'0.0',b'277',b'2.0',b'138.0',b'3.0'
150,151,Jamaica,b'1113',b'7.0',b'140',b'0.0',b'764.0',b'3.0',b'335',b'2.0',b'376.0',b'5.0'
151,152,Aruba,b'1102',b'0.0',b'400',b'0.0',b'200.0',b'0.0',b'898',b'0.0',b'10316.0',b'37.0'
152,153,Andorra,b'1005',b'16.0',b'530',b'0.0',b'869.0',b'6.0',b'83',b'1.0',b'13004.0',b'686.0'
153,154,Vietnam,b'976',b'14.0',b'240',b'0.0',b'467.0',b'11.0',b'485',b'0.0',b'10.0',b'0.2'
154,155,Chad,b'959',b'3.0',b'760',b'0.0',b'865.0',b'0.0',b'18',b'0.0',b'58.0',b'5.0'
155,156,Lesotho,b'946',b'43.0',b'250',b'0.0',b'271.0',b'0.0',b'650',b'0.0',b'441.0',b'12.0'
156,157,Sao Tome and Principe,b'885',b'0.0',b'150',b'0.0',b'818.0',b'0.0',b'52',b'0.0',b'4029.0',b'68.0'
157,158,Réunion,b'880',b'25.0',b'50',b'0.0',b'657.0',b'0.0',b'218',b'4.0',b'982.0',b'6.0'
158,159,Diamond Princess,b'712',b'0.0',b'130',b'0.0',b'651.0',b'0.0',b'48',b'4.0',b'0.0',b'0.0'
159,160,Guyana,b'709',b'0.0',b'230',b'0.0',b'349.0',b'0.0',b'337',b'3.0',b'901.0',b'29.0'
160,162,Channel Islands,b'609',b'2.0',b'470',b'0.0',b'545.0',b'0.0',b'17',b'0.0',b'3499.0',b'270.0'
161,163,Trinidad and Tobago,b'565',b'13.0',b'120',b'1.0',b'140.0',b'0.0',b'413',b'3.0',b'404.0',b'9.0'
162,164,Guadeloupe,b'510',b'64.0',b'140',b'0.0',b'289.0',b'0.0',b'207',b'2.0',b'1275.0',b'35.0'
163,165,Tanzania,b'509',b'0.0',b'210',b'0.0',b'183.0',b'0.0',b'305',b'7.0',b'8.0',b'0.4'
164,166,Taiwan,b'485',b'1.0',b'70',b'0.0',b'450.0',b'0.0',b'28',b'0.0',b'20.0',b'0.3'
165,167,Belize,b'452',b'0.0',b'30',b'0.0',b'35.0',b'0.0',b'414',b'3.0',b'1134.0',b'8.0'
166,168,Burundi,b'413',b'0.0',b'10',b'0.0',b'315.0',b'0.0',b'97',b'0.0',b'35.0',b'0.08'
167,169,Comoros,b'405',b'0.0',b'70',b'0.0',b'379.0',b'0.0',b'19',b'0.0',b'465.0',b'8.0'
168,170,Myanmar,b'376',b'1.0',b'60',b'0.0',b'331.0',b'2.0',b'39',b'0.0',b'7.0',b'0.1'
169,171,Faeroe Islands,b'373',b'1.0',b'0',b'0.0',b'229.0',b'4.0',b'144',b'0.0',b'7630.0',b'0.0'
170,172,Mauritius,b'346',b'0.0',b'100',b'0.0',b'334.0',b'0.0',b'2',b'0.0',b'272.0',b'8.0'
171,174,Martinique,b'336',b'0.0',b'160',b'0.0',b'98.0',b'0.0',b'222',b'2.0',b'895.0',b'43.0'
172,175,Papua New Guinea,b'333',b'10.0',b'30',b'0.0',b'110.0',b'0.0',b'220',b'0.0',b'37.0',b'0.3'
173,176,Sint Maarten,b'317',b'17.0',b'170',b'0.0',b'107.0',b'0.0',b'193',b'3.0',b'7383.0',b'396.0'
174,177,Turks and Caicos,b'298',b'0.0',b'20',b'0.0',b'55.0',b'0.0',b'241',b'3.0',b'7684.0',b'52.0'
175,178,Mongolia,b'298',b'0.0',b'0',b'0.0',b'276.0',b'0.0',b'22',b'1.0',b'91.0',b'0.0'
176,179,Eritrea,b'285',b'0.0',b'0',b'0.0',b'248.0',b'0.0',b'37',b'0.0',b'80.0',b'0.0'
177,180,Cambodia,b'273',b'0.0',b'0',b'0.0',b'238.0',b'0.0',b'35',b'1.0',b'16.0',b'0.0'
178,181,Gibraltar,b'217',b'2.0',b'0',b'0.0',b'194.0',b'4.0',b'23',b'0.0',b'6441.0',b'0.0'
179,183,French Polynesia,b'166',b'0.0',b'0',b'0.0',b'64.0',b'0.0',b'102',b'1.0',b'591.0',b'0.0'
180,184,Bermuda,b'162',b'0.0',b'90',b'0.0',b'147.0',b'0.0',b'6',b'0.0',b'2602.0',b'145.0'
181,185,Barbados,b'152',b'1.0',b'70',b'0.0',b'122.0',b'0.0',b'23',b'0.0',b'529.0',b'24.0'
182,186,Monaco,b'146',b'0.0',b'40',b'0.0',b'114.0',b'0.0',b'28',b'4.0',b'3717.0',b'102.0'
183,188,Bhutan,b'141',b'3.0',b'0',b'0.0',b'103.0',b'1.0',b'38',b'0.0',b'182.0',b'0.0'
184,189,Seychelles,b'127',b'0.0',b'0',b'0.0',b'126.0',b'0.0',b'1',b'0.0',b'1290.0',b'0.0'
185,190,Saint Martin,b'109',b'0.0',b'40',b'0.0',b'49.0',b'0.0',b'56',b'1.0',b'2813.0',b'103.0'
186,191,Liechtenstein,b'94',b'3.0',b'10',b'0.0',b'87.0',b'0.0',b'6',b'0.0',b'2464.0',b'26.0'
187,192,Antigua and Barbuda,b'93',b'0.0',b'30',b'0.0',b'88.0',b'5.0',b'2',b'1.0',b'949.0',b'31.0'
188,193,St. Vincent Grenadines,b'57',b'0.0',b'0',b'0.0',b'55.0',b'0.0',b'2',b'0.0',b'514.0',b'0.0'
189,195,Curaçao,b'34',b'0.0',b'10',b'0.0',b'31.0',b'0.0',b'2',b'0.0',b'207.0',b'6.0'
190,196,Fiji,b'28',b'0.0',b'10',b'0.0',b'20.0',b'0.0',b'7',b'0.0',b'31.0',b'1.0'
191,198,Timor-Leste,b'25',b'0.0',b'0',b'0.0',b'24.0',b'0.0',b'1',b'0.0',b'19.0',b'0.0'
192,199,Grenada,b'24',b'0.0',b'0',b'0.0',b'23.0',b'0.0',b'1',b'0.0',b'213.0',b'0.0'
193,200,New Caledonia,b'23',b'0.0',b'0',b'0.0',b'22.0',b'0.0',b'1',b'0.0',b'80.0',b'0.0'
194,201,Laos,b'22',b'0.0',b'0',b'0.0',b'19.0',b'0.0',b'3',b'0.0',b'3.0',b'0.0'
195,206,Caribbean Netherlands,b'13',b'0.0',b'0',b'0.0',b'7.0',b'0.0',b'6',b'0.0',b'495.0',b'0.0'
196,208,St. Barth,b'13',b'0.0',b'0',b'0.0',b'9.0',b'0.0',b'4',b'0.0',b'1316.0',b'0.0'
197,210,Western Sahara,b'10',b'0.0',b'10',b'0.0',b'8.0',b'0.0',b'1',b'0.0',b'17.0',b'2.0'
198,211,MS Zaandam,b'9',b'0.0',b'20',b'0.0',b'0.0',b'0.0',b'7',b'0.0',b'0.0',b'0.0'
199,212,British Virgin Islands,b'9',b'0.0',b'10',b'0.0',b'7.0',b'0.0',b'1',b'0.0',b'297.0',b'33.0'
200,213,Saint Pierre Miquelon,b'4',b'0.0',b'0',b'0.0',b'1.0',b'0.0',b'3',b'0.0',b'691.0',b'0.0'
201,215,China,b'84849',b'22.0',b'46340',b'0.0',b'79603.0',b'28.0',b'612',b'30.0',b'59.0',b'3.0'
